T,P,vf,vfg,vg,uf,ufg,ug,hf,hfg,hg,sf,sfg,sg
65.0,0.24985597039171228,0.001019922012454511,6.207371134655339,6.208391056667793,272.0032616708577,2191.1320516495034,2463.135313320361,272.0287450310807,2346.2269257621847,2618.2556707932654,0.8933879994207863,6.938420598062447,7.831808597483233
70.0,0.3113260969303509,0.0010228373642667005,5.050241648747053,5.05126448611132,292.93134348510466,2176.631844554782,2469.563188039887,292.96318708134095,2333.8590469014143,2626.8222339827553,0.9548250167243943,6.801279459254555,7.756104475978949
75.0,0.38512785740154787,0.001025906646097109,4.13721909165164,4.138244998297737,313.87603137438055,2162.045971467005,2475.9220028413856,313.9155418970113,2321.3818041154827,2635.297346012494,1.0154213963047023,6.6677633311073246,7.683184727412026
80.0,0.4731540344678529,0.0010291274244386835,3.411544825249913,3.4125739526743515,334.8391871799031,2147.3680087294033,2482.2071959093064,334.88788075894445,2308.7866286963636,2643.674509455308,1.075206440683305,6.537693978110074,7.612900418793378
85.0,0.5774905100701966,0.0010324982853496354,2.830753209145277,2.831785707430627,355.82277433728086,2132.591386412618,2488.4141607498987,355.8824001331468,2296.0646980501915,2651.9470981833383,1.1342085053863866,6.410902408945564,7.54511091433195
90.0,0.7004236076217663,0.0010360186806632073,2.3628207656456293,2.3638567843262925,376.82892290971904,2117.709291671272,2494.538214580991,376.9014881036019,2283.2068363090893,2660.108324412691,1.192455232485003,6.287227966597202,7.479683199082205
95.0,0.8444466279664354,0.0010396887968516391,1.9834153803041477,1.9844550691009992,397.8599618229691,2102.714599073768,2500.5745608967372,397.94775799251147,2270.203442185919,2668.1512001784304,1.249973678500551,6.1665175661718,7.4164912446723505
100.0,1.0122655521045685,0.001043509444987923,1.6739146744496198,1.6749581838946077,418.91842543882376,2087.5998223906117,2506.5182478294355,419.0240563049301,2257.0444387235,2676.0684950284303,1.306790364488171,6.048625053078013,7.355415417566183
110.0,1.4312067511111046,0.0010516081794126075,1.2104375654544985,1.211489173633911,461.12870491580907,2056.9780886931003,2518.1067936089094,461.27921178800716,2230.216730341701,2691.495942129708,1.4184218095459342,5.820740519952076,7.23916232949801
120.0,1.9833124899183976,0.0010603308651078644,0.8917231163871392,0.892783447252247,503.4834019652171,2025.7760437176512,2529.2594456828683,503.69369871002345,2202.6326031494445,2706.326301859468,1.5275501967293876,5.602524744312006,7.130074941041393
